video_id	title	playlists	file	word_count
qmo7GtfvKM4	Presentazione Tesi - Sviluppo Economico e Politica Industriale	PresentazioneTesi	Presentazione Tesi - Sviluppo Economico e Politica Industriale [qmo7GtfvKM4].txt	7860
S0w8peX4UjI	Presentazione Tesi - Università e Ricerca	Universita, PresentazioneTesi	Presentazione Tesi - Università e Ricerca [S0w8peX4UjI].txt	8070
y4xPFzM25Tc	Prevenire è meglio	Sanita	Prevenire è meglio [y4xPFzM25Tc].txt	4927
1P-Z5kRH2Ug	Quanto tiriamo fuori dal portafoglio per CURARCI? Facciamo chiarezza - Ora! Sanità	Sanita	Quanto tiriamo fuori dal portafoglio per CURARCI？ Facciamo chiarezza - Ora! Sanità [1P-Z5kRH2Ug].txt	4280
xlUaAxFGeOA	SSN in Codice Rosso! Dialogo tra Stefano Merigliano e Alberto Molteni	Sanita	SSN in Codice Rosso! Dialogo tra Stefano Merigliano e Alberto Molteni [xlUaAxFGeOA].txt	5406
eF-nN72qMgU	Sistema Sanitario Nazionale: bene comune o costo insostenibile?	Sanita	Sistema Sanitario Nazionale： bene comune o costo insostenibile？ [eF-nN72qMgU].txt	5495
y3t2CJQqSAE	Studio Medico Politico Dr. Merigliano - La sanità italiana nel 2026	Sanita	Studio Medico Politico Dr. Merigliano - La sanità italiana nel 2026 [y3t2CJQqSAE].txt	3054
H5iuLjHKOoc	Tesi Programmatiche di ORA!: Agricoltura, Foreste e Sviluppo Rurale	Programmapres	Tesi Programmatiche di ORA!： Agricoltura, Foreste e Sviluppo Rurale [H5iuLjHKOoc].txt	3532
qDjnZfiVWC4	Tesi Programmatiche di ORA!: Diritti Civili	Programmapres	Tesi Programmatiche di ORA!： Diritti Civili [qDjnZfiVWC4].txt	3948
1B-l8LWq1pw	Tesi Programmatiche di ORA!: Energia, Ambiente e Sostenibilità	Programmapres	Tesi Programmatiche di ORA!： Energia, Ambiente e Sostenibilità [1B-l8LWq1pw].txt	3289
Mc41tvKhWQY	Tesi Programmatiche di ORA!: Esteri e Difesa	Programmapres	Tesi Programmatiche di ORA!： Esteri e Difesa [Mc41tvKhWQY].txt	11140
PqmsuwPVhx8	Tesi Programmatiche di ORA!: Giustizia	Programmapres, Giustizia	Tesi Programmatiche di ORA!： Giustizia [PqmsuwPVhx8].txt	5038
N_jydqv8QXI	Tesi Programmatiche di ORA!: Innovazione	Programmapres	Tesi Programmatiche di ORA!： Innovazione [N_jydqv8QXI].txt	4860
hqb5NQ7FZks	Tesi Programmatiche di ORA!: Istruzione	Programmapres	Tesi Programmatiche di ORA!： Istruzione [hqb5NQ7FZks].txt	4329
4OxwOXjdp0E	Tesi Programmatiche di ORA!: Lavoro e Politiche Sociali	Programmapres	Tesi Programmatiche di ORA!： Lavoro e Politiche Sociali [4OxwOXjdp0E].txt	3071
zdLdYlZqNjI	Tesi Programmatiche di ORA!: Pari opportunità e Inclusione	Programmapres	Tesi Programmatiche di ORA!： Pari opportunità e Inclusione [zdLdYlZqNjI].txt	4424
oLQKVTBgnl4	Tesi Programmatiche di ORA!: Sanità	Programmapres, Sanita	Tesi Programmatiche di ORA!： Sanità [oLQKVTBgnl4].txt	4272
e_VFkzB9Dz8	Tesi Programmatiche di ORA!: Spesa Pubblica	Programmapres	Tesi Programmatiche di ORA!： Spesa Pubblica [e_VFkzB9Dz8].txt	8007
2Lqd9B-hcl0	Tesi Programmatiche di ORA!: Sviluppo Economico	Programmapres	Tesi Programmatiche di ORA!： Sviluppo Economico [2Lqd9B-hcl0].txt	4406
k4hAY723b8g	Tesi Programmatiche di ORA!: Tassazione e Fiscalità	Programmapres	Tesi Programmatiche di ORA!： Tassazione e Fiscalità [k4hAY723b8g].txt	5914
LSIBU1Yeltw	Tesi Programmatiche di ORA!: Unione Europea	Programmapres	Tesi Programmatiche di ORA!： Unione Europea [LSIBU1Yeltw].txt	3830
dMQ3_L9Vsms	Tesi Programmatiche di ORA!: Università	Programmapres, Universita	Tesi Programmatiche di ORA!： Università [dMQ3_L9Vsms].txt	5342
2gPMBT6lIBs	Tesi programmatiche di ORA!: Immigrazione	Programmapres	Tesi programmatiche di ORA!： Immigrazione [2gPMBT6lIBs].txt	3159
o0suYIitBrQ	Tra giustizia e politica: un dialogo con Sabino Cassese	Giustizia	Tra giustizia e politica： un dialogo con Sabino Cassese [o0suYIitBrQ].txt	8989
uCOwoEwt1VY	Università e impresa: come nasce l’innovazione.	Universita	Università e impresa： come nasce l’innovazione. [uCOwoEwt1VY].txt	6992
